,pred
280,252098.58727343063
281,187235.66691850082
282,226021.9828314309
283,193066.57127374096
284,157195.90746962896
285,129107.37547017027
286,193644.2047245685
287,187019.4066519584
288,108265.55271795201
289,200094.40787224393
290,142891.61827473427
291,135847.59245120038
292,249393.7807541443
293,105373.37481969097
294,131299.91793647123
295,142430.89270327744
296,190035.7204605136
297,126493.24243451703
298,313595.23203373177
299,201585.00144068495
300,168763.74562173098
301,294171.6597577184
302,171429.33322000477
303,288339.7262785702
304,170195.88381964114
305,237933.874615004
306,255065.13147063367
307,204176.1533266744
308,188271.33361870094
309,254794.75853879994
310,259313.83336301203
311,184211.61405245695
312,132732.79240978725
313,283798.0146305567
314,186012.91951718074
315,97799.01988543502
316,164982.3297566807
317,317826.41098503186
318,222903.3007768286
319,309065.73167524074
320,173578.82967934012
321,209965.46330835868
322,227239.1861635098
323,198153.88078959912
324,125535.12838570705
325,198464.09877778598
326,204157.23264206812
327,242962.89385540973
328,364654.3052962553
329,178339.54197040104
330,350790.02908316674
331,416155.6248610312
332,174078.6078211446
333,154133.74228946466
334,130503.3291757197
335,196900.45909900308
336,227543.7833878801
337,238075.22025912165
338,225545.5397692864
339,257947.8803351821
340,202063.11061319083
341,186176.55768937327
342,183264.51438697445
343,260582.40777677373
344,169172.4439218574
345,141285.091882211
346,146940.56572699678
347,249039.88520486548
348,235247.6478220617
349,269973.576030855
350,230153.82137556217
351,153199.4623238428
352,221872.72564880527
353,175716.56380722031
354,194163.79558053
355,247382.76571454707
356,212533.06872573157
357,160436.20318192104
358,180985.01842432213
359,290096.2424819646
360,246664.7344193299
361,340360.44705092104
362,241630.26406624314
363,195899.21213637243
364,150093.07038552492
365,220118.316777443
366,169618.47625752285
367,194295.13371842116
368,235220.12496729713
369,292460.43733870954
370,166044.61065968947
371,203216.44508779058
372,260329.01326642968
373,253134.54883626185
374,174787.98859917282
375,208528.10912643757
376,169083.0239818233
377,245013.7274964381
378,240025.27760083455
379,333920.63311120326
380,208721.61873356617
381,208754.31470656444
382,167848.058215161
383,174712.07254200865
384,285379.8489385434
385,188944.19809556525
386,164656.15118909735
387,237723.3236991846
388,180478.9883699036
389,154803.07808483043
390,346960.7065061443
391,183963.08049988357
392,189488.24461362005
393,275593.32878305553
394,166491.90928302336
395,286560.21346249006
396,344975.11105719313
397,199540.46450660352
398,159086.85130763403
399,127290.43156250738
400,174291.9613349834
401,226175.6414927497
402,155475.34378449048
403,266680.8301700684
404,184006.76660341315
405,258074.34855831743
406,229039.535817813
407,194787.4119169238
408,159392.022611023
409,138309.85387784726
410,227452.4539433319
411,195390.93251123346
412,151768.62966143707
413,237928.7709774716
414,309977.8159941381
415,163482.65805771714
416,211157.88024717604
417,183576.58343228648
418,276268.3238702629
419,162855.7982926444
420,130173.66674353908
421,245877.62980533534
422,305363.1494761732
423,185793.4935860199
424,199253.88786085517
425,294392.98613381805
426,188126.28500729537
427,167652.2192717029
428,180710.18509212625
429,144349.84609128913
430,223615.4456532281
431,124456.87739106124
432,157397.73576335583
433,255964.46737537291
434,148297.99148040396
435,151333.51496690043
436,208545.08402026712
437,264635.24612255575
438,242738.14542209738
439,198213.94700376858
440,100386.08393089089
441,134125.07625660996
442,220651.1490859969
443,273194.78645047505
444,292249.0327767218
445,197196.40564680262
446,170061.2112991231
447,231493.66328847653
448,229585.84031944425
449,370347.81513938477
450,173873.42549467037
451,203441.96173228015
452,190009.91679967998
453,373110.3457542597
454,242408.53015393592
455,160275.553302145
456,172719.9727635046
457,201989.62144672006
458,328086.49565015326
459,294548.86587429506
460,251420.36221601095
461,341968.00399390294
462,74136.06115719402
463,193681.92508039632
464,260504.21911414288
465,237140.69937991985
466,360117.9779968302
467,230025.95316406921
468,183980.80209745205
469,328008.06888824626
470,169359.6628685864
471,160975.08391228123
472,148753.05249630165
473,242451.48242849828
474,233114.9112552291
475,330195.44668673514
476,241100.40822243225
477,170590.51886317466
478,260701.81074638615
479,265731.53045262594
480,151680.72751726198
481,358959.91022871115
482,166369.38079749804
483,250906.8621842771
484,198415.8300606104
485,173832.35559618246
486,157975.53565161134
487,295165.3102622158
488,196853.56561608243
489,176616.51443266802
490,181539.9870786546
491,327337.9078710627
492,229253.3029523601
493,177541.90331378017
494,287651.3435860946
495,188000.3530431671
496,137966.42759568006
497,150066.85961935413
498,178519.19895573784
499,175500.39658367596
500,185470.69855740693
501,129975.3585387712
502,318912.7020125758
503,159506.2933297477
504,262641.8665244364
505,115665.80262434724
506,156249.21888348897
507,250027.70332458307
508,299312.92010577297
509,189514.41999357438
510,148219.18301362437
511,276253.15423133195
512,133278.14200682874
513,206668.08617295622
514,292375.4405876698
515,397702.92030565895
516,186242.38235785437
517,300049.93778775196
518,192015.51272921983
519,163870.95009814942
520,273956.6166417983
521,281661.4194236238
522,416557.82027774304
523,374171.7234216394
524,235056.71713968704
525,189890.53547518604
526,195793.66375481768
527,318947.81765544653
528,218206.1765736939
529,194583.52673597887
530,198629.55660476058
531,287902.0152283022
532,323035.47238740796
533,190141.82791428256
534,179904.18079531903
535,253598.09611899144
536,197881.13304147235
537,170856.28178469412
538,192514.53242946797
539,202272.53720153228
540,244976.500475627
541,201839.37862715975
542,188387.26794574867
543,215251.06549310804
544,224448.9901965133
545,181620.68225620795
546,208409.2568009562
547,312978.3466861752
548,174739.789059731
549,270755.04303818685
550,262865.96660511545
551,206063.36354785776
552,224046.08703163554
553,179400.05791710233
554,176212.80132099037
555,388703.5820911466
556,151919.45083110005
557,210101.12377120845
558,201046.5318816137
559,243835.61740159531
560,155748.74661581268
561,177641.30413334325
562,198811.38262004207
563,289660.0972626064
564,180559.46315992955
565,100414.58157898804
566,223998.69540005014
567,177352.28596729986
568,194533.9882201058
569,224343.9277399522
570,269869.45073053846
571,218640.39169391838
572,195757.2031668234
573,323142.0021027522
574,187890.5089899258
575,169813.27778023013
576,126657.3641926681
577,281675.93797142326
578,471946.2954168551
579,216996.3182193323
580,254089.82621801947
581,188673.82244972716
582,426806.28856574296
583,196323.3602486569
584,306231.4138767169
585,129791.20104630737
586,188026.85604261604
587,214603.75241472185
588,242795.43801209173
589,274156.4575258747
590,188354.58221147404
591,277931.39704562415
592,286746.61441257206
593,147734.6158513462
594,123961.77298802226
595,196691.0085900289
596,153506.91125911137
597,145421.7891292269
598,119758.21310683072
599,130173.66674353908
600,302776.62333570723
601,244541.3278197097
602,203887.49607465585
603,163506.50358336203
604,213127.8377741023
605,243876.24947564717
606,165796.76989217126
607,204005.26765978613
608,378076.1645348798
609,222002.74643880833
610,252646.09712908938
611,297684.29068545223
612,186232.56841498305
613,315780.9611778704
614,222862.3565051632
615,135615.93501536304
616,229468.62932431154
617,177919.89630451493
618,141902.60006691434
619,192017.34291566085
620,153434.09523550078
621,155703.93315432215
622,214403.74494135703
623,152379.64552537017
624,124772.73946399832
625,111000.58827145961
626,173771.09389505122
627,217504.47131148193
628,269695.22447866737
629,248853.33662016154
630,202681.24948248384
631,202483.30844005846
632,405814.786235179
633,168514.950511924
634,260739.42268956118
635,189850.72166385833
636,310958.2953378281
637,198501.9653895275
638,272744.15039985784
639,181038.478495925
640,220823.1369465668
641,302416.83939257014
642,119568.92284805997
643,152597.72418641933
644,336997.4239000638
645,177086.35760197593
646,175745.48674346897
647,153442.96192858653
648,268963.30663324485
649,366694.8889964918
650,87073.80498943463
651,195317.53991591587
652,174540.05297308185
653,217142.82487209555
654,187841.86922689612
655,200007.55737138915
656,105750.11280692674
657,202372.5240597751
658,167651.14014320922
659,174566.22359163058
660,138270.28922192476
661,260782.2390748389
662,88318.81525781658
663,278564.16057138424
664,159419.881314538
665,141132.6239663608
666,154536.1643456137
667,175929.8550962421
668,154734.530611893
669,201212.68765161134
670,291019.9658939871
671,202573.50509626287
672,141793.73444278276
673,232799.9163111597
674,306288.2263549187
675,330020.2845561046
676,213108.23765478976
677,136145.90979310725
678,173904.97464779994
679,167777.51576919603
680,229090.70769537988
681,176340.78117391575
682,372993.3732055697
683,373930.17133507325
684,368042.83671942144
685,168633.03442793284
686,199232.6175110087
687,374410.2369211511
688,185186.60503059014
689,317208.2364653751
690,482822.02928225615
691,172349.15510770315
692,155988.71503395875
693,177458.1588251451
694,228832.5248716609
695,209791.21318754862
696,160062.44093286566
697,180322.78313231777
698,190177.53725805425
699,350087.5762908237
700,189785.26023286555
701,154058.2802563804
702,163678.80614373865
703,237795.52104800052
704,177568.0427951056
705,165411.96787397083
706,180747.6897170095
707,193869.7863776072
708,173974.28718686558
709,169594.51593355823
710,199252.42499720168
711,139790.3043259573
712,332804.4181992842
713,209936.378260861
714,122031.04563904185
715,172126.29964192092
716,206186.02998608307
717,160491.818012497
718,157341.7920982399
719,182555.40688104148
720,191478.61287937604
721,311864.92403905647
722,111471.31146260517
723,210634.2731819398
724,176418.29515659943
725,317129.4926538168
726,174648.52457596135
727,150663.73653508502
728,337743.62646174995
729,357828.054458798
730,113596.93293285089
731,221857.09306114283
732,176000.68981407175
733,190927.68687598038
734,453339.6772082502
735,242729.43719791423
736,69991.01418594774
737,189741.59062385728
738,242290.07279285736
739,147239.22614763418
740,420949.1193568677
741,177422.49422509674
742,139816.3760494151
743,194843.01718178124
744,159012.0362081074
745,115024.40682306686
746,180425.03239580023
747,296476.5187581016
748,258437.61113578186
749,170973.6855989237
750,338812.9765002027
751,183201.5097798812
752,271905.2704607054
753,69740.5187564058
754,128838.77303250939
755,276594.476243452
756,179677.85135177066
757,244231.5924462039
758,291225.1760280686
759,199469.74792246224
760,197123.87152866955
761,271529.1319777365
762,152201.66739429385
763,165135.80840771514
764,373714.06499270926
765,266701.10196232924
766,250387.88028825205
767,197893.0483346887
768,128797.88999112364
769,177664.80097909484
770,186008.63895643697
771,192089.9749819958
772,226536.4095260706
773,198835.65112740855
774,358078.43783197575
775,177785.13614776268
776,227731.96383822002
777,186467.9184022811
778,167653.56055300854
779,294196.99717168056
780,156593.60821368065
781,279575.7533897187
782,242181.7000140955
783,202626.4442313069
784,139505.09166693443
785,254428.8356412922
786,242608.62369492062
787,164895.69176184275
788,292047.0093409155
789,212922.66119146245
790,222421.63115097542
791,176683.17872524407
792,344238.9802484837
793,159229.38124380357
794,147057.29681191946
795,179815.96253459505
796,218226.72733675793
797,255835.78604795586
798,176069.32531304573
799,154699.82759499413
800,156093.7697406059
801,209688.08481889367
802,446063.4320865907
803,421031.40018106176
804,222770.0420176255
805,251315.31702824536
806,278796.0592802467
807,165727.27432624492
808,193761.66570325493
809,359777.1277098861
810,104588.86073473409
811,271933.6111912249
812,180116.06427011665
813,261240.82618849294
814,195182.18126789984
815,156041.10059730112
816,220371.95382791874
817,226672.35395324806
818,291399.0574549956
819,96817.55710228969
820,241444.29953030564
821,204439.72470836405
822,248493.39897364442
823,229549.45878307885
824,369381.59644482017
825,189213.99872636487
826,239849.76089084565
827,181692.09373363518
828,162446.54943335138
829,240005.28138530575
830,226646.82687044668
831,239320.16231000892
832,228330.6688039436
833,152825.6927885805
834,130440.1561527471
835,167056.74915226252
836,299784.7204276476
837,198995.20646261823
838,147490.54454525307
839,330543.20552501146
840,273942.11155625177
841,275118.2253300334
842,179825.65695882452
843,220604.63124521228
844,187030.81268971466
845,172361.98598532818
846,176158.3565109806
847,478890.35460443347
848,180863.3082732291
849,148578.13567066853
850,199494.46551339736
851,223257.3140957347
852,374082.0253546026
853,319918.355922702
854,189931.13855846968
855,371842.39688051655
856,241635.3398080531
857,177915.50687085785
858,289327.87182124757
859,163697.84999118626
860,237577.28297808286
861,192424.1676400655
862,181887.6074039218
863,210940.84997255172
864,158903.88093583708
865,180155.766479929
866,212051.07026502263
867,161066.5958420493
868,152851.60388740845
869,268413.89663340506
870,183827.37314758287
871,114994.89868917335
872,214234.48696393427
873,178459.2415392293
874,192966.84522956342
875,365140.89772886835
876,184214.45141573402
877,152219.19490290436
878,224606.40348816823
879,167739.01346442685
880,186430.24563977437
881,269477.9190562424
882,247458.55142398988
883,402006.2879015837
884,166392.0191898265
885,205689.77242565513
886,217397.85064933347
887,193995.55683864056
888,179540.1078124387
889,293135.68461091426
890,292790.8271989457
891,222337.84557952933
892,241193.95283079438
893,285255.10672730167
894,269403.7342993405
895,180074.02413996827
896,170524.1557787532
897,183795.39202981204
898,220767.8398496098
899,273121.29314435786
900,166955.80238754355
901,231644.03218116597
902,316541.29626743146
903,176162.85879690864
904,127482.6576493268
905,142030.73726012398
906,248033.27963327913
907,174132.1827734856
908,154101.5161016478
909,321298.88450901536
910,324090.5281981377
911,176676.57134950376
912,113020.1444415524
913,253647.76229373587
914,190059.87485260534
915,263447.1377128478
916,150762.04091033927
917,159192.24953758065
918,254262.59027662265
919,195359.11900885674
920,272165.4202864357
921,446522.0581395118
922,289763.1339524783
923,161607.76655049413
924,212642.9923988289
925,266576.4593491576
926,260708.89548226283
927,167777.17491219216
928,122256.41108762698
929,194751.89734311338
930,229068.3210240271
931,293295.105901575
932,189176.59407325316
933,184371.9079198289
934,206993.32235616178
935,187155.9777289307
936,234731.7153917039
937,130463.83846428839
938,173321.66674627055
939,137560.6855232706
940,167879.52313048765
941,208752.40338750652
942,172616.76308871436
943,207559.99112347697
944,202262.6143992027
945,177255.1581084209
946,166902.40611483037
947,209874.4882568983
948,339264.23812482005
949,169605.4281738289
950,155001.10906648648
951,195229.35723282225
952,156731.7894289568
953,295892.2655342982
954,154237.34620426846
955,220695.5997441
956,235957.34460857042
957,232080.35971730665
958,147955.33767542758
959,116663.42418457572
960,183862.70157899096
961,158553.6539655195
962,473478.3092270147
963,185810.0324334492
964,119956.13512936229
965,215056.00704386696
966,208526.54889572828
967,225670.919668194
968,204686.9803159088
969,248860.06716376395
970,277025.63017773745
971,380693.3359702472
972,366041.15963367815
973,127640.3105219313
974,170411.97722393723
975,395850.13032815943
976,191554.28462879942
977,353281.1805333817
978,193856.27755834177
979,198668.17271757495
980,185976.5620070229
981,197135.83181519483
982,127898.15103136125
983,298521.67193809425
984,127906.17301780985
985,245295.61034937744
986,328045.7050308023
987,225127.20573676913
988,247422.4269485233
989,213165.2061677178
990,205243.15639234803
991,182618.08912588435
992,197598.82006316353
993,159001.95793188812
994,173517.35961974564
995,440639.95683006087
996,259248.10374417098
997,168060.5906520495
998,176676.57134950376
999,192494.9229126192
1000,157613.15823961823
1001,253085.42191410717
1002,169276.1427469154
1003,198511.04074544038
1004,373101.5421387805
1005,236708.70246874876
1006,266096.6002194543
1007,183819.5357762012
1008,282997.53784434573
1009,207988.31722107634
1010,171957.6558263845
1011,166709.80453024904
1012,196615.71819573402
1013,191295.24150246836
1014,390939.84327401
1015,188805.41107010364
1016,182703.24279772784
1017,195219.0950006732
1018,148525.07923560365
1019,306386.96998612984
1020,151501.8988105155
1021,185689.56566397872
1022,255127.15045224733
1023,179602.01901334748
1024,184219.77595384375
1025,202122.30249645983
1026,201462.16847530252
1027,391094.61226848443
1028,230253.67364240784
1029,144997.25118296943
1030,171881.00031129937
1031,181517.35092153528
1032,183934.22873436115
1033,178014.07580236148
1034,185003.68357505658
1035,200056.89654295603
1036,252215.99273828554
1037,171797.31650308854
1038,209680.84098369733
1039,164470.5832016706
1040,299526.4678824929
1041,171829.48993423025
1042,156723.77398382532
1043,357024.0949367214
1044,111561.11266135293
1045,377498.3745094573
1046,176051.3124658616
1047,236734.25505779817
1048,291649.1551635327
1049,267502.22544597904
1050,179264.3711559682
1051,157787.89017427733
1052,353397.582067205
1053,206272.11492239122
1054,201814.3131687101
1055,267135.06483481696
1056,136020.09399956852
1057,266341.2392873082
1058,141224.7303699803
1059,138121.9991079137
1060,365735.24790748337
1061,135129.67469824856
1062,212571.95418216352
1063,402467.9343767397
1064,192414.31552698082
1065,154596.74151627417
1066,157586.2982161456
1067,196254.96043601417
1068,232487.7312513807
1069,199950.5910903552
1070,159523.06763956958
1071,192639.85499342065
1072,191926.86927268337
1073,149892.15821565434
1074,161397.5588400538
1075,251435.08493260894
1076,241383.66162207042
1077,162539.25652688433
1078,235261.460100573
1079,185190.25598934328
1080,169084.8018102591
1081,181605.43598576955
1082,260780.59881529544
1083,186948.8811464875
1084,169261.2560071988
1085,202208.457502031
1086,152167.14687416406
1087,329480.09737216285
1088,202090.76183526346
1089,187259.19641802806
1090,377433.93306436064
1091,174667.25437686482
1092,167359.82632500527
1093,178333.56100490625
1094,188984.12203832448
1095,159766.50350123967
1096,450567.5186525298
1097,155970.8922611569
1098,264935.68072614033
1099,168128.37499547764
1100,328652.514957609
1101,185018.04547022353
1102,149570.3741269564
1103,150198.06389717417
1104,349591.67687967827
1105,409027.8836670214
1106,252726.10344929778
1107,179956.98619556183
1108,148423.82643565355
1109,194379.58424355503
1110,146253.39318820872
1111,222291.67052265984
1112,144854.3757715207
1113,228131.86406889
1114,176629.85103100046
1115,106203.9608722515
1116,280461.50331042754
1117,140424.21321177424
1118,230386.31746311893
1119,185054.28691025908
1120,253854.58847061088
1121,445062.922392003
1122,263488.9663505049
1123,238483.20647464163
1124,227146.34432787
1125,102882.46351356612
1126,212396.117077894
1127,161658.9364767153
1128,252058.7240489612
1129,246317.16833147153
1130,206584.70928080904
1131,191900.4539643606
1132,227553.56714862146
1133,275536.00076296506
1134,228139.63953151798
1135,104372.07805600857
1136,347021.8629971996
1137,168503.1413074878
1138,214601.57203617616
1139,161282.7766878996
1140,153568.34537145047
1141,179768.5941684164
1142,134319.05953870004
1143,229039.42823759568
1144,189373.13801338602
1145,102295.80046581337
1146,125625.30302017406
1147,179477.18362331612
1148,144965.31788798358
1149,264753.46429395175
1150,148983.3503502549
1151,203296.25081564597
1152,176941.7177453684
1153,217408.5903920022
1154,299134.4332838538
1155,352895.24526949064
1156,237251.2341664328
1157,129573.77891797227
1158,293127.19788982306
1159,271834.16038526234
1160,183780.4675673743
1161,113381.69629380094
1162,365133.94651448797
1163,221956.00291589237
1164,358849.39399422565
1165,154464.79977288187
1166,147963.62743474162
1167,314809.92069674685
1168,268159.85891717667
1169,218822.70659641305
1170,185285.19801730965
1171,176328.2690284347
1172,156153.64875213886
1173,149194.52170645643
1174,260319.5225918824
1175,246428.1741792733
1176,169910.37578139748
1177,392500.0965007237
1178,272900.7700399019
1179,195895.45963312377
1180,314296.0691880613
1181,221279.085541146
1182,120722.33815342972
1183,169448.51791149288
1184,171389.1576425122
1185,245309.72437461544
1186,234497.36810648578
1187,349261.61427184293
1188,404364.8439489406
1189,200288.99294406615
1190,293236.72855669004
1191,188010.631114049
1192,262146.2790600485
1193,138287.37999412653
1194,171920.20193295128
1195,118411.90035837598
1196,171304.47563529742
1197,191996.3886985466
1198,283072.39073562133
1199,190217.17915967427
1200,249905.31035816646
1201,179256.40458218064
1202,208013.46924622357
1203,206605.47630749925
1204,203266.4978835985
1205,326657.9975838093
1206,194323.21768410393
1207,143485.28982722032
1208,368713.3884796705
1209,190169.51183929996
1210,132320.18489895712
1211,179555.51865058544
1212,168391.4309006489
1213,227573.39467072044
1214,153542.44828742094
1215,336980.9581581652
1216,273306.2512794148
1217,172978.70081938565
1218,202446.68900567183
1219,237469.7997315598
1220,166881.6979686941
1221,166998.12614258684
1222,195564.37067361895
1223,280244.1438703471
1224,234350.86330123854
1225,306024.7181478074
1226,404964.3539452048
1227,211487.94035647967
1228,243608.3690156141
1229,180319.77601303015
1230,150773.8202364667
1231,238450.32354018395
1232,269043.60087831254
1233,188234.0657753411
1234,198293.51340231064
1235,173858.29777686953
1236,196406.7750889877
1237,214607.90233603434
1238,137234.83836095638
1239,184157.2686513006
1240,272347.3605446774
1241,199379.11762936332
1242,182680.91427900578
1243,236509.9947628488
1244,218597.2022834142
1245,219973.20464823506
1246,302721.8367619209
1247,188790.9776912849
1248,246036.6590378959
1249,175013.84760703833
1250,170375.10930061038
1251,236116.0362302877
1252,201108.1314139473
1253,286948.50622363726
1254,168181.7777531319
1255,156190.85485894687
1256,164828.01083120581
1257,327938.4365302332
1258,356869.8744145718
1259,275515.4908005862
1260,227002.15772672885
1261,169407.8953305511
1262,157266.1571936335
1263,180857.21057569285
1264,175240.15520498127
1265,186223.82621264728
1266,200475.26357241735
1267,201797.11349725508
1268,164324.2246936201
1269,145875.20735765086
1270,398879.1326940938
1271,193076.0693841823
1272,187324.84544876087
1273,236495.94514140367
1274,368299.61875640607
1275,239169.4360789337
1276,166114.9774797639
1277,319726.6179713211
1278,186088.96852596293
1279,239507.5009410871
1280,121885.22821612962
1281,208333.7755003981
1282,153326.16603279416
1283,178045.8520232448
1284,270077.3657377952
1285,298228.8455056732
1286,178652.97114133314
1287,221921.06685435824
1288,231898.9977935704
1289,165146.5456299587
1290,186968.10907963358
1291,230035.3763371385
1292,242366.7040474471
1293,179272.1954284353
1294,191751.61657613717
1295,371662.441128895
1296,277453.04141589947
1297,156898.81591222322
1298,295596.5985109178
1299,204588.22528894007
1300,194828.05479591974
1301,328054.63229471754
1302,207280.61939540814
1303,268600.46192483563
1304,318433.22929603705
1305,254117.0460189872
1306,313145.20672379073
1307,215286.33897386593
1308,172115.8739138244
1309,241576.86813421996
1310,237677.32845923374
1311,158186.38491585918
1312,273375.98020061577
1313,267090.64641302987
1314,142941.06553672173
1315,176960.66639019133
1316,238159.9657400468
1317,241883.2217418428
1318,113699.75189010374
1319,209840.13094262523
1320,229931.5465661004
1321,267292.30993610015
1322,326481.72999734944
1323,146078.27119140595
1324,219846.16770927422
1325,156775.53378006566
1326,141686.37373980923
1327,213729.14838511488
1328,168746.08684241946
1329,176083.92511045118
1330,171123.9385126658
1331,341109.5218223697
1332,233315.60243825187
1333,168300.47906086198
1334,356181.3521952732
1335,323845.01103769586
1336,187341.99732688337
1337,302936.377015021
1338,141262.74592964188
1339,227240.07142371128
1340,167453.37992763196
1341,133194.63971133713
1342,169786.6001414858
1343,206405.9022246454
1344,357740.0395343892
1345,204500.06678443178
1346,169456.1159191831
1347,204883.2680879872
1348,222887.19749775805
1349,136748.67317716888
1350,273810.006234034
1351,145729.23688509167
1352,232893.85619186744
1353,169242.25610649248
1354,87915.39180918988
1355,159304.97925089108
1356,189277.90251136155
1357,353111.40539174847
1358,411419.9091293945
1359,209078.22288412924
1360,145235.05224592515
1361,171879.18217922482
1362,128398.08152928135
1363,199658.79033008296
1364,181803.11498168565
1365,132505.60390267317
1366,377000.01851789263
